date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-05-22,1,012210,삼미금속,270298706160,0.01133,0.00633,8.289,EWY,EWY:β+0.32@+1.13%
2026-05-22,2,095610,테스,2325136000000,0.01814,0.01314,1.912,MU,MU:β+0.44@+1.81%
2026-05-22,3,456010,아이씨티케이,332949403300,0.00735,0.00235,1.918,URA,URA:β+0.43@+0.73%
2026-05-22,1,012210,삼미금속,270298706160,0.01133,0.00633,8.289,EWY,EWY:β+0.32@+1.13%
2026-05-22,2,095610,테스,2325136000000,0.01814,0.01314,1.912,MU,MU:β+0.44@+1.81%
2026-05-22,3,456010,아이씨티케이,332949403300,0.00735,0.00235,1.918,URA,URA:β+0.43@+0.73%
2026-05-25,1,092200,디아이씨,354274863590,0.0079,0.0029,9.121,AMD,AMD:β+0.20@+0.79%
2026-05-25,2,115500,케이씨에스,190200000000,0.00834,0.00334,5.728,TSLA,TSLA:β+0.43@+0.83%
2026-05-25,3,440110,파두,6427422904100,0.01338,0.00838,1.593,SMCI,SMCI:β+0.21@+1.34%
2026-05-25,1,092200,디아이씨,354274863590,0.0079,0.0029,9.121,AMD,AMD:β+0.20@+0.79%
2026-05-25,2,115500,케이씨에스,190200000000,0.00834,0.00334,5.728,TSLA,TSLA:β+0.43@+0.83%
2026-05-25,3,440110,파두,6427422904100,0.01338,0.00838,1.593,SMCI,SMCI:β+0.21@+1.34%
2026-05-26,1,092200,디아이씨,354274863590,0.0079,0.0029,9.121,AMD,AMD:β+0.20@+0.79%
2026-05-26,2,115500,케이씨에스,190200000000,0.00834,0.00334,5.728,TSLA,TSLA:β+0.43@+0.83%
2026-05-26,3,440110,파두,6427422904100,0.01338,0.00838,1.593,SMCI,SMCI:β+0.21@+1.34%
2026-05-26,1,092200,디아이씨,354274863590,0.0079,0.0029,9.121,AMD,AMD:β+0.20@+0.79%
2026-05-26,2,115500,케이씨에스,190200000000,0.00834,0.00334,5.728,TSLA,TSLA:β+0.43@+0.83%
2026-05-26,3,440110,파두,6427422904100,0.01338,0.00838,1.593,SMCI,SMCI:β+0.21@+1.34%
2026-05-27,1,036540,SFA반도체,1810707936030,0.10335,0.09835,6.844,SMH,SMH:β+1.11@+4.97%; XLK:β+1.46@+3.85%; TSM:β+0.79@+1.52%
2026-05-27,2,064290,인텍플러스,546718385000,0.09943,0.09443,3.737,MU,SMH:β+0.66@+2.97%; XLK:β+0.90@+2.38%; MU:β+0.24@+4.59%
2026-05-27,3,115500,케이씨에스,247200000000,0.04325,0.03825,7.793,XLK,TSLA:β+0.43@+0.77%; XLK:β+0.86@+2.26%; URA:β+0.33@+1.29%
2026-05-27,1,036540,SFA반도체,1810707936030,0.10335,0.09835,6.844,SMH,SMH:β+1.11@+4.97%; XLK:β+1.46@+3.85%; TSM:β+0.79@+1.52%
2026-05-27,2,064290,인텍플러스,546718385000,0.09943,0.09443,3.737,MU,SMH:β+0.66@+2.97%; XLK:β+0.90@+2.38%; MU:β+0.24@+4.59%
2026-05-27,3,115500,케이씨에스,247200000000,0.04325,0.03825,7.793,XLK,TSLA:β+0.43@+0.77%; XLK:β+0.86@+2.26%; URA:β+0.33@+1.29%
2026-05-28,1,115500,케이씨에스,236280000000,0.02301,0.01801,8.356,XLY,TSLA:β+0.42@+0.66%; XLY:β+0.93@+1.64%
2026-05-28,2,001020,페이퍼코리아,119960752962,0.06296,0.05796,,MU,MU:β+1.73@+6.30%
2026-05-28,3,295310,에이치브이엠,1439666732700,0.03234,0.02734,1.605,META,META:β+0.50@+1.87%; AMZN:β+0.55@+1.36%
2026-05-28,1,115500,케이씨에스,236280000000,0.02301,0.01801,8.356,XLY,TSLA:β+0.42@+0.66%; XLY:β+0.93@+1.64%
2026-05-28,2,001020,페이퍼코리아,119960752962,0.06296,0.05796,,MU,MU:β+1.73@+6.30%
2026-05-28,3,295310,에이치브이엠,1439666732700,0.03234,0.02734,1.605,META,META:β+0.50@+1.87%; AMZN:β+0.55@+1.36%
2026-05-29,1,007390,네이처셀,2081252308800,0.02478,0.01978,7.369,SMCI,AMD:β+0.23@+1.07%; SMCI:β+0.17@+1.41%
2026-05-29,2,012200,계양전기,214243664230,0.01577,0.01077,6.191,ITA,ITA:β+0.71@+1.58%
2026-05-29,3,052710,아모텍,441298889200,0.01363,0.00863,6.122,EWY,EWY:β+0.33@+1.36%
2026-05-29,1,007390,네이처셀,2081252308800,0.02478,0.01978,7.369,SMCI,AMD:β+0.23@+1.07%; SMCI:β+0.17@+1.41%
2026-05-29,2,012200,계양전기,214243664230,0.01577,0.01077,6.191,ITA,ITA:β+0.71@+1.58%
2026-05-29,3,052710,아모텍,441298889200,0.01363,0.00863,6.122,EWY,EWY:β+0.33@+1.36%
2026-06-01,1,061090,세나테크놀로지,270517280000,0.03502,0.03002,4.123,MSFT,XLK:β+0.50@+1.12%; MSFT:β+0.44@+2.38%
2026-06-01,2,090360,로보스타,916500000000,0.01844,0.01344,8.615,XLK,XLK:β+0.83@+1.84%
2026-06-01,3,007390,네이처셀,1958825702400,0.03454,0.02954,3.741,SMCI,SMCI:β+0.17@+2.01%; XLK:β+0.65@+1.44%
2026-06-01,1,061090,세나테크놀로지,270517280000,0.03502,0.03002,4.123,MSFT,XLK:β+0.50@+1.12%; MSFT:β+0.44@+2.38%
2026-06-01,2,090360,로보스타,916500000000,0.01844,0.01344,8.615,XLK,XLK:β+0.83@+1.84%
2026-06-01,3,007390,네이처셀,1958825702400,0.03454,0.02954,3.741,SMCI,SMCI:β+0.17@+2.01%; XLK:β+0.65@+1.44%
2026-06-02,1,003550,LG,25569938793000,0.04732,0.04232,9.154,NVDA,XLK:β+0.62@+1.55%; TSM:β+0.31@+1.25%; NVDA:β+0.31@+1.93%
2026-06-02,2,001820,삼화콘덴서,1185030000000,0.03975,0.03475,8.097,XLK,XLK:β+0.93@+2.30%; MU:β+0.25@+1.67%
2026-06-02,3,241520,DSC인베스트먼트,342076000000,0.03721,0.03221,2.961,EWY,XLK:β+0.74@+1.83%; EWY:β+0.36@+1.89%
