date,rank,ticker6,name,predicted_gap,predicted_gap_net,actual_gap,actual_open_to_930,actual_high_pct,actual_low_pct,hit_gross,hit_net,tradeable_30m
2026-05-22,1,012210,삼미금속,0.01133,0.00633,0.01478,-0.00728,0.01375,-0.01133,True,True,True
2026-05-22,2,095610,테스,0.01814,0.01314,-0.0025,0.01085,0.02504,-0.02755,False,False,True
2026-05-22,3,456010,아이씨티케이,0.00735,0.00235,0.0,0.16701,0.26514,0.0,False,False,True
2026-05-22,1,012210,삼미금속,0.01133,0.00633,0.01478,-0.00728,0.01375,-0.01133,True,True,True
2026-05-22,2,095610,테스,0.01814,0.01314,-0.0025,0.01085,0.02504,-0.02755,False,False,True
2026-05-22,3,456010,아이씨티케이,0.00735,0.00235,0.0,0.16701,0.26514,0.0,False,False,True
2026-05-25,1,092200,디아이씨,0.0079,0.0029,0.07453,0.11349,0.1198,-0.00883,True,True,True
2026-05-25,2,115500,케이씨에스,0.00834,0.00334,0.0,0.29978,0.29978,0.0,False,False,True
2026-05-25,3,440110,파두,0.01338,0.00838,0.0,0.03428,0.06084,-0.00257,False,False,True
2026-05-25,1,092200,디아이씨,0.0079,0.0029,0.07453,0.11349,0.1198,-0.00883,True,True,True
2026-05-25,2,115500,케이씨에스,0.00834,0.00334,0.0,0.29978,0.29978,0.0,False,False,True
2026-05-25,3,440110,파두,0.01338,0.00838,0.0,0.03428,0.06084,-0.00257,False,False,True
2026-05-26,1,092200,디아이씨,0.0079,0.0029,0.00988,-0.01848,0.00217,-0.05,True,True,False
2026-05-26,2,115500,케이씨에스,0.00834,0.00334,0.08391,0.15658,0.16414,-0.00349,True,True,True
2026-05-26,3,440110,파두,0.01338,0.00838,-0.00468,-0.06421,0.00078,-0.09632,False,False,False
2026-05-26,1,092200,디아이씨,0.0079,0.0029,0.00988,-0.01848,0.00217,-0.05,True,True,False
2026-05-26,2,115500,케이씨에스,0.00834,0.00334,0.08391,0.15658,0.16414,-0.00349,True,True,True
2026-05-26,3,440110,파두,0.01338,0.00838,-0.00468,-0.06421,0.00078,-0.09632,False,False,False
2026-05-27,1,036540,SFA반도체,0.10335,0.09835,0.01544,-0.08318,0.0,-0.10197,True,True,False
2026-05-27,2,064290,인텍플러스,0.09943,0.09443,-0.03529,0.01341,0.03415,-0.0122,False,False,True
2026-05-27,3,115500,케이씨에스,0.04325,0.03825,-0.05583,0.12853,0.21851,-0.00514,False,False,True
2026-05-27,1,036540,SFA반도체,0.10335,0.09835,0.01544,-0.08318,0.0,-0.10197,True,True,False
2026-05-27,2,064290,인텍플러스,0.09943,0.09443,-0.03529,0.01341,0.03415,-0.0122,False,False,True
2026-05-27,3,115500,케이씨에스,0.04325,0.03825,-0.05583,0.12853,0.21851,-0.00514,False,False,True
2026-05-28,1,115500,케이씨에스,0.02301,0.01801,-0.04723,-0.02239,0.01226,-0.06183,False,False,True
2026-05-28,2,001020,페이퍼코리아,0.06296,0.05796,0.0,-0.1454,0.0,-0.19733,False,False,False
2026-05-28,3,295310,에이치브이엠,0.03234,0.02734,0.00418,-0.03078,0.0,-0.07072,True,False,False
2026-05-28,1,115500,케이씨에스,0.02301,0.01801,-0.04723,-0.02239,0.01226,-0.06183,False,False,True
2026-05-28,2,001020,페이퍼코리아,0.06296,0.05796,0.0,-0.1454,0.0,-0.19733,False,False,False
2026-05-28,3,295310,에이치브이엠,0.03234,0.02734,0.00418,-0.03078,0.0,-0.07072,True,False,False
2026-05-29,1,007390,네이처셀,0.02478,0.01978,0.00619,-0.04615,0.00308,-0.07231,True,True,False
2026-05-29,2,012200,계양전기,0.01577,0.01077,0.0521,-0.01329,0.05556,-0.03744,True,True,True
2026-05-29,3,052710,아모텍,0.01363,0.00863,0.05629,-0.14263,0.00313,-0.16928,True,True,False
2026-05-29,1,007390,네이처셀,0.02478,0.01978,0.00619,-0.04615,0.00308,-0.07231,True,True,False
2026-05-29,2,012200,계양전기,0.01577,0.01077,0.0521,-0.01329,0.05556,-0.03744,True,True,True
2026-05-29,3,052710,아모텍,0.01363,0.00863,0.05629,-0.14263,0.00313,-0.16928,True,True,False
2026-06-01,1,061090,세나테크놀로지,0.03502,0.03002,-0.05372,0.02948,0.03057,-0.0393,False,False,True
2026-06-01,2,090360,로보스타,0.01844,0.01344,0.0,0.3,0.3,0.0,False,False,True
2026-06-01,3,007390,네이처셀,0.03454,0.02954,-0.04441,-0.02065,0.0,-0.07143,False,False,False
2026-06-01,1,061090,세나테크놀로지,0.03502,0.03002,-0.05372,0.02948,0.03057,-0.0393,False,False,True
2026-06-01,2,090360,로보스타,0.01844,0.01344,0.0,0.3,0.3,0.0,False,False,True
2026-06-01,3,007390,네이처셀,0.03454,0.02954,-0.04441,-0.02065,0.0,-0.07143,False,False,False
