code,snapshot_date,Unnamed: 0,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
476830,2026-05-13,240,KR7476830005,알지노믹스,KOSDAQ,기술성장기업부,152800,2,-19000,-11.06,174900,174900,152000,455885,71512083350,2129091057600,13933842,KSQ
347700,2026-05-13,241,KR7347700007,스피어,KOSDAQ,기술성장기업부,42500,2,-650,-1.51,43350,44200,41350,674382,28559824400,2128793040000,50089248,KSQ
192820,2026-05-13,242,KR7192820009,코스맥스,KOSPI,,187100,2,-32400,-14.76,206500,207000,186800,308536,58309048700,2123493133900,11349509,STK
089030,2026-05-13,243,KR7089030001,테크윙,KOSDAQ,중견기업부,57300,1,3800,7.1,53000,57500,52100,1107441,60999363500,2123173858500,37053645,KSQ
131290,2026-05-13,244,KR7131290009,티에스이,KOSDAQ,우량기업부,189500,1,16200,9.35,173300,189700,164800,134178,24826569800,2096140795500,11061429,KSQ
060370,2026-05-13,245,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,39050,2,-1500,-3.7,39550,39950,38650,284536,11134343900,2039927248700,52238854,KSQ
003690,2026-05-13,246,KR7003690005,코리안리,KOSPI,,11530,2,-310,-2.62,11830,11900,11530,288842,3362717710,2037593487430,176721031,STK
080220,2026-05-13,248,KR7080220007,제주반도체,KOSDAQ,우량기업부,58900,1,3700,6.7,53700,59300,53200,3574379,206226646050,2028682863700,34442833,KSQ
077970,2026-05-13,250,KR7077970002,STX엔진,KOSPI,,49200,2,-2100,-4.09,52400,52700,48300,394368,19470344300,1975284699600,40148063,STK
298020,2026-05-13,253,KR7298020009,효성티앤씨,KOSPI,,448500,2,-11500,-2.5,464000,464000,443500,32530,14593177750,1940965377000,4327682,STK
081660,2026-05-13,254,KR7081660003,미스토홀딩스,KOSPI,,36100,2,-950,-2.56,37350,37600,36100,193661,7067308115,1916615424000,53091840,STK
085620,2026-05-13,255,KR7085620003,미래에셋생명,KOSPI,,14140,2,-430,-2.95,14300,14590,14130,115630,1657220250,1911445200000,135180000,STK
002790,2026-05-13,256,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,24950,2,-550,-2.16,25650,25800,24850,115907,2905279350,1907631591000,76458180,STK
