code,snapshot_date,market,name,market_cap,volume,yf_ticker
242040,2026-08-19,KOSDAQ,나무에이엑스,116450078360.0,344120,242040.KQ
041590,2026-08-19,KOSDAQ,플래스크,116064014460.0,0,041590.KQ
001520,2026-08-19,KOSPI,동양,116013160656.0,136297,001520.KS
307750,2026-08-19,KOSDAQ,국전,115800587760.0,68663,307750.KQ
0088M0,2026-08-19,KOSDAQ,메쥬,115616475000.0,35227,0088M0.KQ
090850,2026-08-19,KOSDAQ,현대이지웰,115086863360.0,41125,090850.KQ
014530,2026-08-19,KOSPI,극동유화,115069086000.0,59472,014530.KS
453450,2026-08-19,KOSDAQ,그리드위즈,114852165000.0,31440,453450.KQ
282880,2026-08-19,KOSDAQ,코윈테크,114718944420.0,24340,282880.KQ
246710,2026-08-19,KOSDAQ,티앤알바이오팹,114633132120.0,92577,246710.KQ
012200,2026-08-19,KOSPI,계양전기,114608110090.0,354695,012200.KS
217270,2026-08-19,KOSDAQ,넵튠,114502325350.0,33586,217270.KQ
078935,2026-08-19,KOSPI,GS우,114077231600.0,7207,078935.KS
290720,2026-08-19,KOSDAQ,푸드나무,113875579905.0,54564,290720.KQ
002780,2026-08-19,KOSPI,진흥기업,113758904590.0,0,002780.KS
063570,2026-08-19,KOSDAQ,NICE인프라,113541195600.0,24980,063570.KQ
259630,2026-08-19,KOSDAQ,엠플러스,113301610920.0,63901,259630.KQ
083420,2026-08-19,KOSPI,그린케미칼,113280000000.0,95251,083420.KS
256940,2026-08-19,KOSDAQ,킵스파마,113240749080.0,27625,256940.KQ
012320,2026-08-19,KOSPI,경동인베스트,113166350550.0,4667,012320.KS
049520,2026-08-19,KOSDAQ,유아이엘,113038220625.0,57039,049520.KQ
095700,2026-08-19,KOSDAQ,제넥신,112940425120.0,102785,095700.KQ
396470,2026-08-19,KOSDAQ,워트,112840000000.0,4577439,396470.KQ
008970,2026-08-19,KOSPI,KBI동양철관,112587094095.0,517209,008970.KS
013570,2026-08-19,KOSPI,디와이,112253234745.0,99470,013570.KS
047310,2026-08-19,KOSDAQ,파워로직스,111845856525.0,121069,047310.KQ
016710,2026-08-19,KOSPI,대성홀딩스,111821740050.0,22725,016710.KS
017510,2026-08-19,KOSDAQ,세명전기,111753180000.0,126453,017510.KQ
163730,2026-08-19,KOSDAQ,핑거,111746168100.0,65362,163730.KQ
339950,2026-08-19,KOSDAQ,아이비김영,111467704400.0,191564,339950.KQ
017550,2026-08-19,KOSPI,수산세보틱스,110696056620.0,143752,017550.KS
038540,2026-08-19,KOSDAQ,상상인,110324656122.0,141732,038540.KQ
014580,2026-08-19,KOSPI,태경비케이,110194484500.0,69868,014580.KS
004250,2026-08-19,KOSPI,NPC,110160000000.0,40930,004250.KS
018120,2026-08-19,KOSDAQ,진로발효,110109225600.0,668,018120.KQ
051360,2026-08-19,KOSDAQ,토비스,110011431880.0,40898,051360.KQ
051980,2026-08-19,KOSDAQ,중앙첨단소재,109980791910.0,309852,051980.KQ
101170,2026-08-19,KOSDAQ,우림피티에스,109890000000.0,88345,101170.KQ
108230,2026-08-19,KOSDAQ,톱텍,109887178050.0,139138,108230.KQ
053700,2026-08-19,KOSDAQ,삼보모터스,109801761270.0,344615,053700.KQ
035000,2026-08-19,KOSPI,HS애드,109563673440.0,26902,035000.KS
059210,2026-08-19,KOSDAQ,메타바이오메드,109500923350.0,79242,059210.KQ
011810,2026-08-19,KOSPI,STX,109493282310.0,0,011810.KS
041440,2026-08-19,KOSDAQ,현대에버다임,109369694560.0,54092,041440.KQ
056090,2026-08-19,KOSDAQ,시지메드텍,109351319124.0,209958,056090.KQ
123040,2026-08-19,KOSDAQ,엠에스오토텍,109349010054.0,414390,123040.KQ
010100,2026-08-19,KOSPI,한국무브넥스,109317007800.0,52386,010100.KS
488280,2026-08-19,KOSDAQ,에스투더블유,109229153740.0,31157,488280.KQ
950190,2026-08-19,KOSDAQ,고스트스튜디오,109213125010.0,14227,950190.KQ
070960,2026-08-19,KOSPI,모나용평,109021999245.0,282868,070960.KS
012800,2026-08-19,KOSPI,대창,109004036804.0,372079,012800.KS
037070,2026-08-19,KOSDAQ,파세코,109000000000.0,251143,037070.KQ
311320,2026-08-19,KOSDAQ,지오엘리먼트,108485216000.0,90015,311320.KQ
265740,2026-08-19,KOSDAQ,엔에프씨,108432052000.0,420208,265740.KQ
036630,2026-08-19,KOSDAQ,세종텔레콤,108360000000.0,99774,036630.KQ
299030,2026-08-19,KOSDAQ,하나기술,108251081400.0,52743,299030.KQ
067900,2026-08-19,KOSDAQ,와이엔텍,108105974460.0,17005,067900.KQ
120240,2026-08-19,KOSDAQ,대정화금,107927768910.0,16105,120240.KQ
158430,2026-08-19,KOSDAQ,아톤,107843615260.0,111265,158430.KQ
067990,2026-08-19,KOSDAQ,도이치모터스,107825827250.0,179913,067990.KQ
039340,2026-08-19,KOSDAQ,한국경제TV,107800000000.0,3536,039340.KQ
074430,2026-08-19,KOSDAQ,아미노로직스,107443052518.0,187399,074430.KQ
002460,2026-08-19,KOSPI,HS화성,107285500000.0,27953,002460.KS
054050,2026-08-19,KOSDAQ,NH농우바이오,107244453090.0,28029,054050.KQ
105330,2026-08-19,KOSDAQ,케이엔더블유,106850198400.0,9187,105330.KQ
248170,2026-08-19,KOSPI,샘표식품,106669478100.0,5179,248170.KS
120030,2026-08-19,KOSPI,조선선재,106648804800.0,635,120030.KS
032940,2026-08-19,KOSDAQ,원익,106612327800.0,55881,032940.KQ
417010,2026-08-19,KOSDAQ,나노팀,106512003840.0,81956,417010.KQ
023450,2026-08-19,KOSPI,동남합성,106225000000.0,830,023450.KS
073560,2026-08-19,KOSDAQ,우리손에프앤지,105518167932.0,184219,073560.KQ
039560,2026-08-19,KOSDAQ,다산네트웍스,105505631280.0,133918,039560.KQ
474610,2026-08-19,KOSDAQ,RF시스템즈,105375258200.0,99720,474610.KQ
100700,2026-08-19,KOSDAQ,세운메디칼,105339000000.0,1908031,100700.KQ
027970,2026-08-19,KOSPI,한국제지,105153348160.0,10426,027970.KS
115500,2026-08-19,KOSDAQ,케이씨에스,104760000000.0,59959,115500.KQ
338220,2026-08-19,KOSDAQ,뷰노,104313581350.0,17492,338220.KQ
071280,2026-08-19,KOSDAQ,로체시스템즈,104169866430.0,161280,071280.KQ
330350,2026-08-19,KOSDAQ,위더스제약,104145475200.0,317077,330350.KQ
297090,2026-08-19,KOSDAQ,씨에스베어링,103626000000.0,78226,297090.KQ
166480,2026-08-19,KOSDAQ,코아스템켐온,103625936960.0,86309,166480.KQ
091440,2026-08-19,KOSDAQ,한울소재과학,103532901000.0,195530,091440.KQ
267850,2026-08-19,KOSPI,아시아나IDT,103230000000.0,7523,267850.KS
021080,2026-08-19,KOSDAQ,에이티넘인베스트,102960000000.0,164255,021080.KQ
006620,2026-08-19,KOSDAQ,동구바이오제약,102616296160.0,111851,006620.KQ
362320,2026-08-19,KOSDAQ,청담글로벌,102583756500.0,79588,362320.KQ
066590,2026-08-19,KOSDAQ,스모트로닉,102496533050.0,93570,066590.KQ
141000,2026-08-19,KOSDAQ,비아트론,102490446600.0,35261,141000.KQ
264900,2026-08-19,KOSPI,크라운제과,102319854500.0,11489,264900.KS
009580,2026-08-19,KOSPI,무림P&P,102284051360.0,40361,009580.KS
255440,2026-08-19,KOSDAQ,야스,102244140000.0,391815,255440.KQ
