date,rank,ticker6,name,primary_driver,predicted,predicted_net,actual,vol_ratio,strategy_name
2026-03-16,1,033160,엠케이전자,MU,0.010355444375286158,0.005355444375286158,0.011888111888111888,8.121114811226276,no_vol_cap
2026-03-17,1,039980,폴라리스AI,SMH,0.009635263603019258,0.0046352636030192575,0.0,63.20702838464113,no_vol_cap
2026-03-17,2,357580,아모센스,EWY,0.031037030651152122,0.02603703065115212,0.029880478087649404,6.226388179462652,no_vol_cap
2026-03-17,3,425040,티이엠씨,MU,0.01482032381695869,0.00982032381695869,0.013388259526261586,9.967752166099226,no_vol_cap
2026-03-18,1,425040,티이엠씨,MU,0.009511490183774157,0.004511490183774156,0.021421616358325218,14.221079732861208,no_vol_cap
2026-03-18,2,200710,에이디테크놀로지,TSM,0.012303929919715968,0.007303929919715968,0.03005181347150259,2.487475415154403,no_vol_cap
2026-03-19,1,475400,씨메스로보틱스,AMD,0.005822404110536476,0.0008224041105364755,-0.03636363636363636,1.7274267893364779,no_vol_cap
2026-03-19,2,081150,티플랙스,KWEB,0.005125835545237528,0.00012583554523752823,0.0060790273556231,2.1334908446544594,no_vol_cap
2026-03-20,1,000300,DH오토넥스,NFLX,0.23126504041733326,0.22626504041733325,0.0,,no_vol_cap
2026-03-20,2,199820,제일일렉트릭,EWY,0.010379364072781368,0.005379364072781368,0.007819287576020852,6.172241696151842,no_vol_cap
2026-03-20,3,417200,LS머트리얼즈,AMD,0.007477195406325282,0.002477195406325282,0.016842034284677378,2.583818345855674,no_vol_cap
2026-03-23,1,117580,대성에너지,EWY,0.03294053898567035,0.02794053898567035,0.09515260323159784,2.4988200837478334,no_vol_cap
2026-03-23,2,081150,티플랙스,KWEB,0.009057315909369364,0.004057315909369364,-0.007385524372230428,3.3672709271351455,no_vol_cap
2026-03-24,1,035510,신세계 I&C,EWY,0.030828666837695487,0.025828666837695486,0.028571447881300126,16.460356107352613,no_vol_cap
2026-03-24,2,062970,한국첨단소재,XLY,0.026995768210763958,0.021995768210763957,0.2066420935968962,8.264813671629012,no_vol_cap
2026-03-24,3,160190,하이젠알앤엠,URA,0.013387034090453468,0.00838703409045347,0.014608233731739707,13.796852789346367,no_vol_cap
2026-03-25,1,003280,흥아해운,EWY,0.02444894584710469,0.01944894584710469,-0.015918958031837915,10.645815960545123,no_vol_cap
2026-03-25,2,000300,DH오토넥스,NFLX,0.19670999234439587,0.19170999234439587,0.0,,no_vol_cap
2026-03-25,3,007460,에이프로젠,XLB,0.008231855092952793,0.0032318550929527927,0.01796408353413905,6.490411635318939,no_vol_cap
2026-03-26,1,215600,신라젠,XBI,0.021340939955328125,0.016340939955328124,0.0038022813688212928,14.122224513795057,no_vol_cap
2026-03-26,2,348370,엔켐,AMD,0.02547611495922501,0.02047611495922501,0.18380462724935734,6.066087705146085,no_vol_cap
2026-03-26,3,432720,퀄리타스반도체,NVDA,0.015292033258942158,0.010292033258942158,0.00591016548463357,7.047447938528279,no_vol_cap
2026-03-27,1,003280,흥아해운,EWY,0.030116437986499003,0.025116437986499002,0.0,1.6461135838152927,no_vol_cap
2026-03-27,2,143240,사람인,SMCI,0.00843834600820103,0.0034383460082010294,4.350249321543126e-08,3.0320222093950138,no_vol_cap
2026-03-30,1,134380,미원화학,MSFT,0.005858214640796122,0.0008582146407961223,0.0,3.506993006993007,no_vol_cap
2026-03-31,1,143240,사람인,ITA,0.005830725646441494,0.0008307256464414941,0.0,2.7967895329979933,no_vol_cap
2026-03-31,2,018670,SK가스,EWY,0.005139694551907362,0.00013969455190736193,-0.01532567049808429,1.5959775296483807,no_vol_cap
2026-04-01,1,054920,한컴위드,XLK,0.04722179694376917,0.04222179694376917,0.01701701701701702,61.84957050222868,no_vol_cap
2026-04-01,2,425040,티이엠씨,TSM,0.06729962535347093,0.06229962535347094,-0.04090909090909091,31.88444050458921,no_vol_cap
2026-04-01,3,100700,세운메디칼,XLI,0.01948179236507344,0.01448179236507344,0.02178217821782178,134.9042761755931,no_vol_cap
2026-04-02,1,321260,프로이천,SMH,0.007815133661317194,0.0028151336613171938,-0.0015282730514518594,263.243413383073,no_vol_cap
2026-04-02,2,303810,동국생명과학,XLI,0.013095877855425448,0.008095877855425447,0.0,58.889389455585494,no_vol_cap
2026-04-02,3,012210,삼미금속,XLK,0.06664076370783728,0.06164076370783728,0.0014005602240896359,5.541654445240786,no_vol_cap
2026-04-03,1,091810,트리니티항공,AMD,0.03603392731962426,0.031033927319624257,0.00963855421686747,6.846804396492961,no_vol_cap
2026-04-03,2,004090,한국석유,EWY,0.014095074754758009,0.009095074754758008,0.0,4.450638836252218,no_vol_cap
