ticker6,name,market_cap,sma5,sma20,sma60,high20,prev_close,rsi14,vol_median20,macd_state,chg5d_pct
448280,에코아이,203862167520.0,6608.0,6964.5,8650.0,8010.0,6850.0,44.69,14449.0,bullish,-2.84
067390,아스트,203840268236.0,440.8,475.05,557.52,515.0,484.0,48.98,855674.0,golden_cross,7.8
456010,아이씨티케이,203467970500.0,12632.0,14399.5,20130.0,17330.0,14030.0,44.26,227514.0,bullish,7.67
034810,해성산업,203376178880.0,6132.0,6251.0,6454.0,6440.0,6440.0,55.3,31928.0,bullish,7.33
317330,덕산테코피아,202718181600.0,9208.0,9841.5,15064.0,10910.0,9900.0,43.33,60068.0,bullish,4.98
018310,삼목에스폼,202272000000.0,13280.0,14090.0,16317.83,15040.0,13760.0,44.03,7422.0,bullish,2.53
102940,코오롱생명과학,202249816350.0,14344.0,26169.0,42268.83,43650.0,15450.0,23.67,191184.0,bearish,-1.15
044820,코스맥스비티아이,202162537050.0,19932.0,19667.5,18920.0,21050.0,21050.0,63.49,22277.0,golden_cross,7.23
018000,유니슨,202149163236.0,728.0,826.3,935.65,930.0,779.0,42.72,1606901.0,bearish,8.04
220100,퓨쳐켐,202071054200.0,7682.0,8038.49,11358.53,9010.0,9010.0,52.67,43026.0,bullish,20.78
064850,에프앤가이드,201962876400.0,16300.0,19833.0,24230.17,24600.0,17700.0,40.88,47824.0,bearish,3.93
053690,한미글로벌,201071042500.0,15736.0,16288.0,18952.17,19290.0,18350.0,55.25,84469.0,bullish,18.85
475560,더본코리아,201067273200.0,13106.0,13967.5,15743.33,15120.0,13560.0,41.0,11192.0,golden_cross,-0.07
353810,이지바이오,200807254400.0,5984.0,6126.5,6422.17,6380.0,6070.0,47.1,71571.0,bullish,1.17
065680,우주일렉트로,200518220700.0,20978.0,25762.0,33985.67,31700.0,21700.0,36.16,28529.0,bearish,-5.45
005010,휴스틸,200029547000.0,3446.0,3628.75,4441.08,3865.0,3560.0,41.88,296645.0,bullish,1.42
